UniqueCount	AmbigCount
1	48
0	46
0	48
7	2883
0	2882
5	2883
0	0
0	0
2089	0
0	3057
0	2628
0	2573
0	2803
0	2696
5	3059
0	2698
0	3059
0	2845
0	2698
0	2836
0	2677
0	3053
0	2868
0	2669
0	0
6	0
0	687
0	691
0	685
0	691
0	691
0	691
0	691
0	289
1	691
0	691
145	505
0	505
24	0
0	171
4	171
0	3875
626	3875
1925	0
0	825
0	753
0	827
0	827
0	759
0	972
0	974
0	974
0	850
89	11
1199	0
1247	0
1128	0
0	488
0	344
0	0
0	348
0	297
0	454
0	464
0	409
0	466
0	484
0	388
0	390
0	394
0	464
0	398
0	472
6	488
0	486
0	415
0	458
0	478
0	478
0	385
0	0
2888	29219
41	29298
25	90
13	29222
3410	0
1	7
0	7
26	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
249	0
491	0
5	92
0	87
1	92
0	63
0	54
0	72
0	55
0	54
0	65
0	83
0	86
0	82
0	83
0	71
0	68
0	56
0	56
0	77
0	56
0	67
0	55
7159	0
0	2428
47	2428
186	4464
0	4464
6	280
0	280
0	39
5	9713
0	9445
0	9583
0	9234
0	9458
0	9638
0	9710
7	9370
0	0
2847	0
1	0
255	0
1	513
0	488
0	513
0	513
0	492
0	498
0	476
0	513
0	482
0	513
0	513
0	513
0	466
0	513
0	513
0	512
0	5008
387	5008
0	830
0	885
5	885
293	9
0	6
0	6
0	0
2	112
0	112
6	0
2	489
0	489
0	487
0	487
0	473
0	487
0	487
0	487
0	487
0	487
0	487
0	487
0	487
0	487
0	488
0	487
772	0
0	3868
11	3898
0	2778
0	3898
0	3011
1380	0
0	38
13	41
112	1039
0	1039
2764	0
0	237
3	237
4275	0
3	0
0	3
1	3
0	2
0	2
0	2
0	2
669	0
0	0
0	237
0	74
0	98
0	237
0	115
0	115
0	0
5153	0
4	0
2510	0
2087	0
1466	0
715	0
1	34
0	34
140	93
2	0
10	1321
0	1321
45	1
8487	0
2470	0
3	39
0	38
0	39
0	38
11	0
10	0
47	28
73	0
17	0
9	0
0	0
0	0
22	0
1237	0
80	474
0	428
0	435
0	3726
2	3726
0	3720
0	1289
0	1258
0	1257
0	1233
0	1202
0	1201
59	0
21	467
0	420
0	420
0	467
0	467
4	329
0	223
24	547
0	547
0	2
0	2
0	2
0	2
2307	0
1	461
0	461
1630	1
8	19
0	19
0	19
92	0
0	0
0	916
3	916
9	2
112	0
4	2
2652	0
877	200
0	0
5	328
0	295
0	328
0	599
0	608
44	608
282	2
2235	0
37	0
48	0
0	12
1	12
934	1878
0	156
0	1878
0	5514
0	5757
0	14596
0	14839
0	1326
0	1550
0	3382
0	3625
0	6777
0	7020
0	336
0	313
4	231
0	208
0	86
0	212
0	1243
0	1243
1	4956
20	4956
507	652
0	652
1742	0
23018	0
1	0
1030	2
0	2148
0	2167
0	2167
0	2132
0	2065
0	2061
0	0
0	27941
314	27941
0	27129
1	25954
0	26160
0	9700
5	148
37	2212
0	1960
0	2073
0	1858
1	201
0	201
6	0
8	4211
0	4073
0	4207
0	4073
0	4211
0	2352
0	4205
65	103
32	1612
0	1612
1	0
578	0
182	645
8	645
1099	1057
0	1037
5281	0
26	66
0	66
0	976
3	976
144	0
0	0
0	0
8	0
0	620
0	620
0	620
0	620
2926	4
162	0
0	2
0	2
0	2
0	1
436	10185
0	10185
0	1917
0	1918
0	1902
0	1903
0	2104
0	2105
661	0
88	0
9	0
164	0
353	0
1448	0
34	320
