UniqueCount	AmbigCount
2	54
0	52
0	54
2	1940
0	1940
2	1940
0	0
0	0
2057	0
0	3020
0	2542
0	2479
0	2744
0	2613
3	3021
0	2616
0	3021
0	2798
0	2614
0	2784
0	2587
0	3016
0	2834
0	2583
0	0
4	0
0	1228
0	1228
0	1222
0	1228
0	1228
0	1228
0	1228
0	544
1	1228
0	1228
739	1211
1	1211
23	0
0	126
10	126
0	4756
886	4756
2071	0
0	1257
0	1151
0	1263
0	1263
0	1158
0	1457
0	1463
0	1463
0	1270
78	22
1764	0
2033	0
430	0
0	824
0	593
0	0
0	597
0	526
0	766
0	797
0	672
0	800
0	820
0	644
0	653
0	654
0	800
0	656
0	813
2	824
0	824
0	673
0	777
0	813
0	813
0	641
0	0
1889	19345
81	19454
8	119
11	19345
2281	0
0	1
0	1
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
371	0
1882	0
3	64
0	61
1	64
0	37
0	29
0	46
0	30
0	30
0	39
0	53
0	57
0	53
0	53
0	44
0	41
0	32
0	31
0	52
0	31
0	41
0	31
7496	0
0	2775
120	2775
191	4950
0	4950
9	718
0	718
0	126
7	10647
0	10296
0	10473
0	9998
0	10292
0	10533
0	10642
6	10176
0	0
2848	0
8	0
414	0
0	651
0	620
0	650
0	648
0	622
0	631
0	594
0	650
0	608
0	649
0	651
0	649
0	577
0	650
0	649
0	648
0	4849
340	4849
0	1421
0	1477
2	1477
357	6
0	5
0	5
0	0
0	310
0	310
17	0
0	118
0	118
0	118
0	118
0	115
0	118
0	118
0	117
0	118
0	117
0	118
0	118
0	117
0	118
0	118
0	118
1143	0
0	3802
18	3836
0	2700
0	3836
0	2924
1904	0
0	430
186	537
265	1965
0	1965
3109	0
0	83
0	83
4867	0
1	0
0	8
0	8
0	1
0	1
0	1
0	1
1101	0
0	0
5	713
0	192
0	262
0	713
0	136
0	136
0	0
7316	0
2	0
3599	0
2154	0
1992	0
1017	0
4	33
0	33
173	176
2	0
17	2267
0	2267
31	4
5048	0
3432	0
28	281
0	277
0	281
0	277
8	0
2	0
58	28
133	1
23	0
1	0
0	0
0	0
18	0
1575	0
51	1347
0	1315
0	1324
0	4005
5	4005
0	4002
0	2000
0	1966
0	1965
0	1971
0	1937
0	1936
37	0
9	522
0	473
0	473
0	522
0	522
1	362
1	259
33	828
0	828
0	40
0	40
0	40
0	40
3648	0
2	1205
0	1205
2012	1
43	104
0	104
0	103
100	0
0	0
0	758
7	758
12	10
212	0
3	0
2139	0
1396	164
0	0
10	536
0	476
0	533
0	181
0	182
7	182
600	3
4838	0
46	0
74	0
0	5
0	5
1179	2459
0	198
0	2459
0	6005
0	6309
0	16216
0	16520
0	1330
0	1598
0	3644
0	3948
0	7428
0	7732
0	595
0	575
3	363
0	343
0	94
0	360
0	801
6	801
3	5759
26	5759
741	873
1	873
2036	0
28145	0
1	0
1638	0
0	3482
0	3498
0	3498
0	3471
0	3412
0	3385
1	0
0	14629
115	14629
1	14161
0	13551
0	13628
2	4954
2	327
95	4515
0	3967
0	4199
0	3774
15	774
0	774
1	0
9	4460
0	4320
0	4452
0	4321
0	4460
0	2531
0	4452
28	106
88	2272
0	2272
1	0
480	0
153	752
8	752
1163	1150
0	1129
6213	0
54	162
0	162
0	1589
3	1589
289	0
0	0
0	0
13	0
0	393
0	393
0	393
0	393
3327	1
158	0
0	2
0	2
0	2
0	2
486	11421
0	11421
0	730
0	730
0	742
0	742
0	805
0	805
929	0
34	0
16	0
283	0
603	0
1721	0
48	379
0	379
0	342
101	2158
0	2156
0	2148
0	2158
125	7163
0	7163
0	7125
26	7223
0	7223
3	0
7	16
0	2442
12	2442
0	677
8	0
0	1
0	1
715	0
1	1899
0	1848
0	1821
0	1840
0	1842
0	1898
0	1861
0	1846
0	1898
0	1898
0	1831
0	1898
0	1899
0	1730
0	3990
1	4029
0	3965
0	4029
0	3997
0	2224
849	1
4565	0
29	257
19	277
1354	0
0	1347
1	1347
0	1346
0	1346
0	1342
0	1229
0	953
0	1004
0	696
0	1346
0	1347
0	870
0	1346
0	1346
0	817
0	1219
1	290
0	103
0	148
0	277
0	141
0	246
0	128
0	152
0	144
0	138
0	102
48	12
940	291
0	291
0	24
0	24
48	16
21	0
0	539
0	524
0	521
0	529
0	513
0	541
0	541
0	509
0	513
0	501
0	486
0	483
0	491
0	475
0	503
0	503
0	471
0	475
0	426
0	433
0	464
0	471
0	2
0	2
0	2
0	2
0	1
17	0
6	0
0	732
30	732
0	5681
0	5673
0	5682
0	5672
0	5659
22	5682
0	5638
0	5681
0	5590
0	5574
0	5662
2701	0
643	0
0	0
7	0
61	0
3	0
6905	0
0	5227
0	5219
0	5228
8	5229
0	5228
0	5229
159	1276
0	1276
1234	0
17	0
221	21
1866	0
196	0
0	305
13	305
0	34
793	407
1	349
17	174
936	0
3242	0
0	250
0	250
17	1
7858	0
12	871
0	871
4180	0
0	1
0	1
0	489
0	487
0	487
0	489
0	487
0	487
0	487
0	487
0	487
0	487
0	0
1056	74
517	1470
0	1470
0	19
0	19
0	19
0	19
0	19
0	0
1	0
1193	0
757	0
0	2
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	1
0	2
0	1
0	1
31	0
1572	0
2899	0
505	535
0	535
2825	0
2449	0
1436	0
0	1141
0	1177
5	1178
0	1178
1117	405
0	162
0	147
0	74
0	59
0	3
3482	4
3837	2
0	10
0	10
0	10
0	7
72	0
152	2557
0	2557
1	0
1101	1479
0	1479
453	0
3	0
83	2044
0	2044
0	1837
0	1822
0	1837
5	11
1521	0
12	0
2433	0
2	0
23	1450
0	1422
0	1423
0	1422
0	1426
0	1415
0	1439
0	1411
0	1415
0	1411
0	1432
0	1410
0	1424
0	1410
0	1426
0	1422
0	1450
0	1426
0	1415
55	243
0	243
38	7
0	7
0	3844
0	3839
4	3854
0	3849
0	3839
0	36
1	36
0	35
1	35
0	35
29	0
1217	0
75	1072
0	1032
0	1072
117	2261
0	2261
0	1
0	1
0	0
0	0
58	435
0	435
3	0
2	0
190	174
0	174
0	235
0	235
0	229
5	230
13	1777
0	1777
0	1727
6780	0
670	0
0	0
25	128
0	128
0	86
13	1284
0	1284
0	3116
14	3116
1304	0
4043	0
58	1093
0	1093
669	9929
0	9479
0	9929
2440	0
4	81
0	24
0	24
0	1
0	1
0	1
1154	0
113	667
0	667
0	0
0	0
12	438
0	438
1105	0
11	104
0	100
0	104
112	1519
0	1519
0	1453
29	487
0	457
0	487
0	451
207	0
1	0
32	55
15	1
36	343
0	312
0	321
0	334
0	317
0	343
0	482
0	410
0	457
8	482
0	338
0	300
0	348
0	266
0	297
0	249
113	1492
0	1476
0	1477
0	1476
0	1476
0	1471
0	1472
0	1492
0	1426
0	1490
1228	0
0	10
0	10
0	0
0	123
0	100
0	123
0	123
0	127
0	123
0	100
0	101
0	127
0	120
370	20
0	0
2	0
1101	0
0	7
0	7
0	2607
5	2607
0	2606
0	2
0	2
0	2
0	2
0	1
0	2
0	2
0	2
0	1
0	1
0	2
0	2
0	2
0	2
0	2
0	2
0	1
0	2
0	2
0	1
0	2
0	2
0	2
0	2
0	1
0	2
0	2
0	2
0	2
0	2
0	0
0	0
53	20
0	20
18	0
0	1154
12	1154
21	1248
0	1248
42	3282
0	3282
0	1593
36	1593
14	2058
0	2058
61	0
1673	0
4	1497
0	1450
0	1497
0	1479
0	3
0	3
0	3
0	1
0	3
0	1
0	2
0	3
0	3
0	3
0	1
0	1
0	0
0	1
0	1
0	53
1	53
59	0
0	6
0	6
0	7
0	7
1394	0
1020	0
0	211
3	211
0	209
34	135
0	135
1070	0
474	0
676	0
5477	0
0	22
0	22
2204	0
9	0
66	0
0	0
0	0
63	2811
0	2811
0	5625
201	5625
446	0
742	28617
0	28617
10	876
480	876
0	2299
0	2495
15	2495
30	2265
0	2265
0	2143
0	0
1299	0
0	0
0	0
7	1124
0	2005
3	2131
0	2081
0	1965
0	1999
0	1791
0	1912
0	1862
0	1754
0	1785
0	1332
0	1292
0	1326
0	10
0	10
14	11278
665	11278
0	7897
0	9776
0	9147
1	1
0	1
1607	0
0	0
0	1050
87	1050
484	1103
0	1103
0	974
1	1338
1	1338
0	22
0	21
0	22
0	22
0	22
0	20
31	0
0	572
93	572
0	3488
15	3488
228	273
0	245
0	273
0	4303
0	4292
0	4293
0	4293
0	4293
0	4704
0	4693
0	4694
0	4694
0	4694
0	120
0	120
0	120
0	120
0	120
0	4167
0	4156
0	4157
0	4157
0	4157
0	6206
0	6195
0	6196
0	6196
0	6196
0	8101
0	8110
0	6569
0	6578
3	865
205	3180
0	3184
0	3184
0	2668
6	1217
0	1217
14	0
8	4499
0	4190
0	4499
0	4497
0	4498
0	56
0	56
1	56
0	56
0	37
0	54
2375	1368
1	1368
0	79
0	79
0	79
0	47
0	38
26	0
20	2120
1414	2120
16	0
46	1
0	1117
0	525
0	992
0	1124
0	1118
1	1124
0	1026
0	1110
0	1124
10	2
0	2
13	1004
1	1004
0	3373
0	3373
0	3373
0	3373
0	3373
0	0
1	0
2598	0
24	1887
0	1887
0	2210
0	2127
0	2210
50	3278
0	3278
0	1164
0	1176
0	1000
0	1012
0	1047
0	1058
0	875
0	886
0	1018
0	1030
9	0
0	269
14	269
0	241
23	0
4165	0
14	1571
260	1571
0	2324
68	2324
0	884
0	890
3	890
0	876
0	942
0	719
0	710
0	690
0	952
0	951
0	780
0	756
0	826
0	784
0	949
14	952
0	910
0	571
0	688
0	660
0	696
0	690
0	465
0	3509
0	3510
0	3273
0	3435
0	2856
0	3433
0	3434
0	3197
0	3359
0	2780
2131	0
7	1833
2	1833
0	1160
8	127
33	234
0	107
0	113
0	104
0	75
0	66
0	1252
0	1216
9	1252
0	1144
105	671
0	671
0	669
0	635
2330	761
0	72
0	72
0	67
4	2261
0	2162
0	2254
0	2193
0	2260
0	2254
0	2261
0	2200
0	2255
0	2056
0	1987
5	144
0	144
0	1106
0	1028
0	1057
0	1057
0	897
0	629
0	778
0	923
0	879
1	1090
0	768
11	1057
0	852
6	852
0	852
1	577
210	1564
0	1564
1030	0
0	1262
54	1262
0	834
24	4846
1	4846
1795	42901
43	42901
0	565
0	565
0	433
0	3793
0	3814
0	3839
0	3827
0	3837
0	3592
0	3613
0	3638
0	3626
0	3636
1374	67
1	0
646	109
0	109
2	0
49	354
0	234
0	353
0	410
0	410
0	427
0	427
4	2534
0	2529
0	2432
0	2444
0	2425
0	2455
0	2534
5	0
4	4041
0	4277
73	4277
1110	0
0	11618
0	11819
0	11811
0	4173
0	4374
0	4366
0	1916
0	2117
0	2109
0	2492
0	2481
0	12194
0	12183
0	4749
0	4738
1313	175
251	1460
79	1537
0	4703
136	4801
0	4801
0	52
0	52
2605	0
3067	0
0	0
1	21
0	21
2	21
0	13
0	13
1	3486
1	3400
99	3486
51	0
2	35
0	35
0	1977
3	1977
30	1041
0	1024
0	1021
56	1021
0	676
76	1037
11	6
1205	0
0	27919
1067	27919
4	1
34	0
0	810
0	1141
0	1141
0	1337
0	1350
0	1006
0	2286
0	2348
0	2330
0	2392
0	1403
1	2700
0	949
0	962
0	1051
0	2700
0	2762
1	1058
0	997
0	1010
2	1735
130	1735
72	2264
0	2225
0	2239
0	2264
0	2122
0	731
0	731
0	924
0	766
0	766
0	889
246	0
0	522
0	515
0	509
0	504
0	465
0	507
5	522
0	520
0	116
0	32
0	37
0	37
0	32
10	634
0	634
0	626
1	0
0	8
1	8
96	612
0	224
0	601
2214	0
1	468
0	381
0	426
0	249
4	468
0	95
0	92
0	89
0	124
360	206
0	206
0	11
0	11
3156	0
20	370
1	427
0	7
2	7
2	396
0	396
7	394
0	1566
615	1566
0	1213
136	1213
0	8173
0	8204
0	8200
0	8210
0	8199
4	8210
0	7612
0	8207
0	8206
0	8199
0	8200
0	2873
0	2492
0	2429
0	2551
0	1
0	1
0	2314
0	2312
0	2298
0	2105
0	2134
0	2314
0	1423
0	0
0	1
0	1
0	3114
1	3125
0	3112
83	2982
0	332
2	16
0	16
0	11
0	10
0	5
0	1346
0	1289
0	1343
18	1346
0	518
0	2885
0	1728
0	2885
0	9642
0	9642
0	602
0	685
0	535
0	599
0	541
0	532
0	680
0	318
0	399
0	255
0	315
0	263
0	255
0	394
0	6701
0	6674
37	6741
0	6672
0	6741
0	6718
19	1009
75	1009
2738	0
0	3359
0	3359
5	0
1701	0
6	483
0	483
1	1489
0	1489
0	1488
0	1586
17	1502
0	1502
1	1586
6	9961
0	9961
0	7035
0	9889
0	9918
