gene_model,gene_name,unique_gene_id
KH.C10.1,CBR4; DHRS11,Cirobu.g00001294
KH.C10.10,FAU; RPS27A; UBB,Cirobu.g00001295
KH.C10.100,EXOSC4; EXOSC5; IQCA1,Cirobu.g00001296
KH.C10.101,RPS19,Cirobu.g00001297
KH.C10.102,KH.C10.102,Cirobu.g00001298
KH.C10.103,KH.C10.103,Cirobu.g00001299
KH.C10.104,PRPF40A; PRPF40B; TCERG1,Cirobu.g00001300
KH.C10.105,TOMM34; TOMM70; TTC1,Cirobu.g00001301
KH.C10.106,MITF; TFE3; TFEB,Cirobu.g00001302
KH.C10.107,TMEM138,Cirobu.g00001303
KH.C10.108,SCAP,Cirobu.g00001304
KH.C10.109,DNAAF2; PIH1D1; PIH1D2,Cirobu.g00001305
KH.C10.11,TREH,Cirobu.g00001306
KH.C10.111,HSCB,Cirobu.g00001307
KH.C10.112,KH.C10.112,Cirobu.g00001308
KH.C10.113,ETS1; ETS2; ETV1,Cirobu.g00001309
KH.C10.114,GSTT2; GSTT2B,Cirobu.g00001310
KH.C10.115,VRK1; VRK2; VRK3,Cirobu.g00001311
KH.C10.116,MAOA; PYROXD2; RETSAT,Cirobu.g00001312
KH.C10.117,DPP4; DPP6; FAP,Cirobu.g00001313
KH.C10.118,MID1; TRIM67; TRIM9,Cirobu.g00001314
KH.C10.119,KH.C10.119,Cirobu.g00001315
KH.C10.12,KH.C10.12,Cirobu.g00001316
KH.C10.120,KH.C10.120,Cirobu.g00001317
KH.C10.121,KH.C10.121,Cirobu.g00001318
KH.C10.122,ARF1; ARF3; ARF6,Cirobu.g00001319
KH.C10.123,KH.C10.123,Cirobu.g00001320
KH.C10.124,PIK3R5; PIK3R6,Cirobu.g00001321
KH.C10.125,NINJ1; NINJ2,Cirobu.g00001322
KH.C10.126,KH.C10.126,Cirobu.g00001323
KH.C10.127,F9; HMCN1; PRSS56,Cirobu.g00001324
KH.C10.128,ATP5MC1; ATP5MC2; ATP5MC3,Cirobu.g00001325
KH.C10.129,PUS1; PUS3; PUSL1,Cirobu.g00001326
KH.C10.13,TAF1B,Cirobu.g00001327
KH.C10.130,AKAP9; PCNT,Cirobu.g00001328
KH.C10.131,CCDC154,Cirobu.g00001329
KH.C10.132,NICN1,Cirobu.g00001330
KH.C10.133,PCYT1A; PCYT1B; PCYT2,Cirobu.g00001331
KH.C10.134,CASP3; DTX3; DTX3L,Cirobu.g00001332
KH.C10.135,EIF2S2; EIF5,Cirobu.g00001333
KH.C10.136,CBR4; DHRS11,Cirobu.g00001334
KH.C10.137,KH.C10.137,Cirobu.g00001335
KH.C10.138,OFCC1,Cirobu.g00001336
KH.C10.139,KH.C10.139,Cirobu.g00001337
KH.C10.14,GSTA2; GSTA3; HPGDS,Cirobu.g00001338
KH.C10.140,HDAC4; HDAC5; HDAC9,Cirobu.g00001339
KH.C10.141,KH.C10.141,Cirobu.g00001340
KH.C10.142,CPTP; GLTP; PLEKHA8,Cirobu.g00001341
KH.C10.143,PPP1R36,Cirobu.g00001342
KH.C10.144,F11; KLKB1; TMPRSS2,Cirobu.g00001343
KH.C10.145,HMCN1; SPON1; THSD7A,Cirobu.g00001344
KH.C10.146,FBLN2; FBLN5; FBLN7,Cirobu.g00001345
KH.C10.147,SLC22A4; SLC22A5; SLC22A7,Cirobu.g00001346
KH.C10.148,ERG; FEV; FLI1,Cirobu.g00001347
KH.C10.149,DGLUCY,Cirobu.g00001348
KH.C10.15,TMEM200A; TMEM200C,Cirobu.g00001349
KH.C10.150,PAX3; PAX6; PAX7,Cirobu.g00001350
KH.C10.151,KH.C10.151,Cirobu.g00001351
KH.C10.152,KH.C10.152,Cirobu.g00001352
KH.C10.153,MUC5AC; MUC5B; SSPO,Cirobu.g00001353
KH.C10.154,TARBP1,Cirobu.g00001354
KH.C10.155,KH.C10.155,Cirobu.g00001355
KH.C10.157,NOC2L,Cirobu.g00001356
KH.C10.158,COQ9,Cirobu.g00001357
KH.C10.159,ACP2; ACP6; PXYLP1,Cirobu.g00001358
KH.C10.16,PTAR1,Cirobu.g00001359
KH.C10.161,RAB4A; RAB4B; RAB4B-EGLN2,Cirobu.g00001360
KH.C10.162,LRR1; SCRIB,Cirobu.g00001361
KH.C10.163,ABCG2; ABCG4; ABCG8,Cirobu.g00001362
KH.C10.164,CCDC186; GRIPAP1,Cirobu.g00001363
KH.C10.165,HCN1; HCN2; HCN4,Cirobu.g00001364
KH.C10.166,WIPF1; WIPF2,Cirobu.g00001365
KH.C10.168,PITPNA; PITPNC1; PITPNM2,Cirobu.g00001366
KH.C10.169,PCIF1,Cirobu.g00001367
KH.C10.17,SEMA6A; SEMA6C; SEMA6D,Cirobu.g00001368
KH.C10.170,ZNF839,Cirobu.g00001369
KH.C10.171,RPP25; RPP25L,Cirobu.g00001370
KH.C10.172,KIRREL1; KIRREL2; KIRREL3,Cirobu.g00001371
KH.C10.173,GSTT2; GSTT2B,Cirobu.g00001372
KH.C10.174,MEIS1; MEIS2; MEIS3,Cirobu.g00001373
KH.C10.175,KH.C10.175,Cirobu.g00001374
KH.C10.176,PNPO,Cirobu.g00001375
KH.C10.177,WDR45; WDR45B; WIPI1,Cirobu.g00001376
KH.C10.178,ALDH1A1; ALDH4A1; ALDH8A1,Cirobu.g00001377
KH.C10.179,P4HB; PDIA3; PDIA4,Cirobu.g00001378
KH.C10.18,MAP3K14; MAP3K2; MAP3K8,Cirobu.g00001379
KH.C10.180,SUPT5H,Cirobu.g00001380
KH.C10.181,PPIA; PPIAL4C; PPIF,Cirobu.g00001381
